PROCESSO ADMIN. Nº,PROCESSO Nº,JUÍZO__gt,JUÍZO__pred,status
016155-35.2025.8.15,0803389-75.2024.8.15.0211,3ª Vara Mista da Comarca de Itaporanga,3ª Vara Mista da Comarca de Itaporanga,TP
2000000931,0804518-18.2024.8.15.0211,3ª Vara Mista da Comarca de Itaporanga,3ª Vara Mista da Comarca de Itaporanga,TP
2000000862,0802999-08.2024.8.15.0211,3ª Vara Mista da Comarca de Itaporanga,3ª Vara Mista da Comarca de Itaporanga,TP
2041927123,0804778-35.2016.8.15.2003,1ª Vara Regional de Mangabeira.,1ª Vara Regional de Mangabeira.,TP
2043184850,0800748-50.2022.8.15.0061,2ª Vara Mista da Comarca de Araruna,2ª Vara Mista da Comarca de Araruna,TP
017493-36.2025.8.15,0802076-69.2023.8.15.0161,1ª Vara Mista da Comarca de Cuité,1ª Vara Mista da Comarca de Cuité,TP
2072162100,0802374-37.2025.8.15.0211,2ª Vara Mista da Comarca de Itaporanga,2ª Vara Mista da Comarca de Itaporanga,TP
2005042413,0801610-82.2023.8.15.0191,Juízo da Vara Única da Comarca de Soledade,Juízo da Vara Única da Comarca de Soledade,TP
2005042413,0801610-82.2023.8.15.0191,Juízo da Vara Única da Comarca de Soledade,Juízo da Vara Única da Comarca de Soledade,TP
2005042413,0801610-82.2023.8.15.0191,Juízo da Vara Única da Comarca de Soledade,Juízo da Vara Única da Comarca de Soledade,TP
2005042413,0801610-82.2023.8.15.0191,Juízo da Vara Única da Comarca de Soledade,Juízo da Vara Única da Comarca de Soledade,TP
2005042413,0801610-82.2023.8.15.0191,Juízo da Vara Única da Comarca de Soledade,Juízo da Vara Única da Comarca de Soledade,TP
2005042413,0801610-82.2023.8.15.0191,Juízo da Vara Única da Comarca de Soledade,Juízo da Vara Única da Comarca de Soledade,TP
2025.815,0802858-06.2022.8.15.0131,4ª Vara Mista da Comarca de Cajazeiras,4ª Vara Mista da Comarca de Cajazeiras,TP
2057.9358,0874905-96.2019.8.15.2001,5ª Vara Cível da Comarca da Capital,5ª Vara Cível da Comarca da Capital,TP
2043.2025,0800820-16.2024.8.15.0401,Juízo da Vara Única da Comarca de Umbuzeiro,Juízo da Vara Única da Comarca de Umbuzeiro,TP
2025.815,0809114-50.2024.8.15.0371,5ª Vara Mista da Comarca de Sousa,5ª Vara Mista da Comarca de Sousa,TP
2021030239,0803249-41.2024.8.15.0211,3ª Vara Mista da Comarca de Itaporanga,3ª Vara Mista da Comarca de Itaporanga,TP
2000001074,0803648-70.2024.8.15.0211,3ª Vara Mista da Comarca de Itaporanga,3ª Vara Mista da Comarca de Itaporanga,TP
2025.815,0847455-13.2021.8.15.2001,9ª Vara Cível da Comarca da Capital,9ª Vara Cível da Comarca da Capital,TP
2025.815,0842262-80.2022.8.15.2001,9ª Vara Cível da Comarca da Capital,9ª Vara Cível da Comarca da Capital,TP
2005042413,,2ª Vara Mista da Comarca de Queimadas,2ª Vara Mista da Comarca de Queimadas,TP
2021.815,0800545-02.2021.8.15.1071,Juízo da Vara Única da Comarca de Jacaraú,Juízo da Vara Única da Comarca de Jacaraú,TP
2010011233,0801804-56.2025.8.15.0371,1º,1º,TP
2000001164,0801282-77.2025.8.15.0161,2ª Vara Mista da Comarca de Cuité,2ª Vara Mista da Comarca de Cuité,TP
2025.815,0856615-28.2022.8.15.2001,9ª Vara Cível da Comarca da Capital,9ª Vara Cível da Comarca da Capital,TP
2025100213,0812004-31.2024.8.15.0251,2ª Vara Mista da Comarca de Catolé do Rocha,2ª Vara Mista da Comarca de Catolé do Rocha,TP
2000001137,0804780-81.2024.8.15.0141,2ª Vara Mista da Comarca de Catolé do Rocha,2ª Vara Mista da Comarca de Catolé do Rocha,TP
2025.2025,0801525-30.2024.8.15.0331,5ª Vara Mista da Comarca de Santa Rita,5ª Vara Mista da Comarca de Santa Rita,TP
2025.2025,0806890-65.2024.8.15.0331,5ª Vara Mista da Comarca de Santa Rita,5ª Vara Mista da Comarca de Santa Rita,TP
2025.2025,0809027-20.2024.8.15.0331,5ª Vara Mista da Comarca de Santa Rita,5ª Vara Mista da Comarca de Santa Rita,TP
018548-56.2025.8.15,0802240-10.2025.8.15.0211,2ª Vara Mista da Comarca de Itaporanga,2ª Vara Mista da Comarca de Itaporanga,TP
2017.2711,0802271-30.2025.8.15.0211,2ª Vara Mista da Comarca de Itaporanga,2ª Vara Mista da Comarca de Itaporanga,TP
2061.1718,0800708-98.2025.8.15.0211,2ª Vara Mista da Comarca de Itaporanga,2ª Vara Mista da Comarca de Itaporanga,TP
2000001141,0802016-81.2024.8.15.0381,2ª Vara Mista da Comarca de Itabaiana,2ª Vara Mista da Comarca de Itabaiana,TP
2025.2025,0859010-90.2022.8.15.2001,1ª Vara de Família da Capital,1ª Vara de Família da Capital,TP
2023.815,,"2ª Vara Mista da Comarca de Ingá, encontra-se nesta Diretoria Especial (diesp@tjpb.jus.br), com a nota de empenho por estimativa, emitida para pagamento, aguardando que seja providenciada a nota fiscal do serviço realizado, com a indicação do","2ª Vara Mista da Comarca de Ingá, encontra-se nesta Diretoria Especial (diesp@tjpb.jus.br), com a nota de empenho por estimativa, emitida para pagamento, aguardando que seja providenciada a nota fiscal do serviço realizado, com a indicação do",TP
2025.815,0801715-88.2025.8.15.0191,Juízo da Vara Única da Comarca de Soledade,Juízo da Vara Única da Comarca de Soledade,TP
2011317294,0802898-94.2021.8.15.0301,2ª Vara Mista da Comarca de Pombal,2ª Vara Mista da Comarca de Pombal,TP
2010011233,0806043-06.2025.8.15.0371,1º,1º,TP
2010011233,0805174-43.2025.8.15.0371,1º,1º,TP
2005042413,0801931-87.2023.8.15.0201,1ª Vara Mista da Comarca de Ingá,1ª Vara Mista da Comarca de Ingá,TP
2035.2025,0024880-24.2010.8.15.2003,1ª Vara Regional de Mangabeira,1ª Vara Regional de Mangabeira,TP
2024.815,,Juízo da Vara Única da Comarca de Jacaraú,Juízo da Vara Única da Comarca de Jacaraú,TP
2024.815,,Juízo da Vara Única da Comarca de Jacaraú,Juízo da Vara Única da Comarca de Jacaraú,TP
2024.815,,Juízo da Vara Única da Comarca de Jacaraú,Juízo da Vara Única da Comarca de Jacaraú,TP
2025.815,0804349-58.2022.8.15.2003,2ª Vara Regional Cível de Mangabeira,2ª Vara Regional Cível de Mangabeira,TP
2025100613,0804876-33.2023.8.15.0141,2ª Vara Mista da Comarca de Catolé do Rocha,2ª Vara Mista da Comarca de Catolé do Rocha,TP
2027165660,0802105-51.2025.8.15.0161,2ª Vara Mista da Comarca de Cuité,2ª Vara Mista da Comarca de Cuité,TP
2008.2025,0800975-39.2024.8.15.0071,Juízo da Vara Única da Comarca de Areia,Juízo da Vara Única da Comarca de Areia,TP
2000001168,0000194-63.2015.8.15.1171,Juízo da Vara Única da Comarca de São Bento,Juízo da Vara Única da Comarca de São Bento,TP
2018250235,0804254-69.2025.8.15.0371,1º,1º,TP
2025.2025,0865118-67.2024.8.15.2001,1ª Vara de Família da Comarca da Capital,1ª Vara de Família da Comarca da Capital,TP
2020.815,0845349-15.2020.8.15.2001,1ª Vara Regional Cível de Mangabeira da Comarca da Capital,1ª Vara Regional Cível de Mangabeira da Comarca da Capital,TP
2005042413,0800165-58.2024.8.15.0461,Juízo da Vara Única da Comarca de Solânea,Juízo da Vara Única da Comarca de Solânea,TP
2005042413,0800473-94.2024.8.15.0461,Juízo da Vara única da Comarca de Solânea,Juízo da Vara única da Comarca de Solânea,TP
2005042413,0801059-68.2023.8.15.0461,Juízo da Vara Única da Comarca de Solânea,Juízo da Vara Única da Comarca de Solânea,TP
2005042413,0800496-74.2023.8.15.0461,Juízo da Vara Única da Comarca de Solânea,Juízo da Vara Única da Comarca de Solânea,TP
2005042413,0801674-58.2023.8.15.0461,Juízo da Vara única da Comarca de Solânea,Juízo da Vara única da Comarca de Solânea,TP
2005042413,0801101-49.2025.8.15.0461,Juízo da Vara Única da Comarca de Solânea,Juízo da Vara Única da Comarca de Solânea,TP
2005042413,0800462-31.2025.8.15.0461,Juízo da Vara Única da Comarca de Solânea,Juízo da Vara Única da Comarca de Solânea,TP
2005042413,0801404-97.2024.8.15.0461,Juízo da Vara Única da Comarca de Solânea,Juízo da Vara Única da Comarca de Solânea,TP
2005042413,0800077-25.2021.8.15.0461,Juízo da Vara Única da Comarca de Solânea,Juízo da Vara Única da Comarca de Solânea,TP
2066.61454,0801128-19.2023.8.15.0391,Juízo da Vara Única da Comarca de Teixeira,Juízo da Vara Única da Comarca de Teixeira,TP
2005042413,0801376-32.2024.8.15.0461,Juízo da Vara Única da Comarca de Solânea,Juízo da Vara Única da Comarca de Solânea,TP
2066.61454,0801035-27.2021.8.15.0391,Juízo da Vara Única da Comarca de Teixeira,Juízo da Vara Única da Comarca de Teixeira,TP
2066.61454,0801034-42.2021.8.15.0391,Juízo da Vara Única da Comarca de Teixeira,Juízo da Vara Única da Comarca de Teixeira,TP
2000000114,0801660-26.2025.8.15.0131,2ª Vara Mista da Comarca de Cajazeiras,2ª Vara Mista da Comarca de Cajazeiras,TP
019390-43.2025.8.15,0805281-87.2025.8.15.0371,,,TN
019391-09.2025.8.15,0805181-35.2025.8.15.0371,,,TN
2008.169,0805161-44.2025.8.15.0371,,,TN
2095.2025,0805171-88.2025.8.15.0371,,,TN
2090855660,0800309-81.2018.8.15.0351,3ª Vara Mista da Comarca de Sapé,3ª Vara Mista da Comarca de Sapé,TP
2005042413,0801155-49.2024.8.15.0461,Juízo da Vara Única da Comarca de Solânea,Juízo da Vara Única da Comarca de Solânea,TP
2005042413,0000496-15.2020.8.15.0461,Juízo da Vara Única da Comarca de Solânea,Juízo da Vara Única da Comarca de Solânea,TP
019418-61.2025.8.15,0800581-54.2024.8.15.0581,3ª Vara Regional do Juízo das Garantias da Comarca de Campina Grande,3ª Vara Regional do Juízo das Garantias da Comarca de Campina Grande,TP
2005042413,0801308-53.2022.8.15.0461,Juízo da Vara Única da Comarca de Solânea,Juízo da Vara Única da Comarca de Solânea,TP
2005042413,0800488-97.2023.8.15.0461,Juízo da Vara única da Comarca de Solânea,Juízo da Vara única da Comarca de Solânea,TP
2040.2025,0800013-05.2024.8.15.0301,5ª Vara Regional do Juízo das Garantias da Comarca de Patos,5ª Vara Regional do Juízo das Garantias da Comarca de Patos,TP
2016.2025,0801129-93.2025.8.15.0371,1º,1º,TP
2066.61454,0800827-04.2025.8.15.0391,Juízo da Vara Única da Comarca de Teixeira,Juízo da Vara Única da Comarca de Teixeira,TP
2010011233,0807839-66.2024.8.15.0371,1º,1º,TP
2066.61454,0800796-81.2025.8.15.0391,Juízo da Vara Única da Comarca de Teixeira,Juízo da Vara Única da Comarca de Teixeira,TP
2000000116,0806259-98.2024.8.15.0371,1º,1º,TP
2020251015,0801390-11.2024.8.15.0301,5ª Vara Regional do Juízo das Garantias da Comarca de Patos,5ª Vara Regional do Juízo das Garantias da Comarca de Patos,TP
019471-05.2025.8.15,0804302-28.2025.8.15.0371,,,TN
2025115000,0802809-16.2025.8.15.0371,1º,1º,TP
019489-72.2025.8.15,0801811-43.2025.8.15.0211,2ª Vara Mista da Comarca de Itaporanga,2ª Vara Mista da Comarca de Itaporanga,TP
019492-67.2025.8.15,0801811-43.2025.8.15.0211,2ª Vara Mista da Comarca de Itaporanga,2ª Vara Mista da Comarca de Itaporanga,TP
019493-33.2025.8.15,0802123-19.2025.8.15.0211,2ª Vara Mista da Comarca de Itaporanga,2ª Vara Mista da Comarca de Itaporanga,TP
2004555510,0801364-55.2025.8.15.0211,1ª Vara Mista da Comarca de Itaporanga,1ª Vara Mista da Comarca de Itaporanga,TP
2004555510,0801364-55.2025.8.15.0211,2ª Vara Mista da Comarca de Itaporanga,2ª Vara Mista da Comarca de Itaporanga,TP
2035800265,0801747-95.2023.8.15.0601,"“A audiência será parcialmente realizada por videoconferência, conforme Resolução nº","“A audiência será parcialmente realizada por videoconferência, conforme Resolução nº",TP
2010000010,0800659-22.2025.8.15.0061,2ª Vara da Comarca de Araruna,2ª Vara da Comarca de Araruna,TP
2000000859,0802115-34.2023.8.15.0301,1ª Vara Mista da Comarca de Pombal,1ª Vara Mista da Comarca de Pombal,TP
2035800265,0801944-16.2024.8.15.0601,"“A audiência será parcialmente realizada por videoconferência, conforme Resolução nº","“A audiência será parcialmente realizada por videoconferência, conforme Resolução nº",TP
2035800265,,Juízo da Vara Única da Comarca de Belém,Juízo da Vara Única da Comarca de Belém,TP
019534-94.2025.8.15,0800930-65.2024.8.15.0061,2ª Vara da Comarca de Araruna,2ª Vara da Comarca de Araruna,TP
2022.815,0801780-86.2022.8.15.0321,Juízo da Vara Única da Comarca de Santa Luzia,Juízo da Vara Única da Comarca de Santa Luzia,TP
2024.815,,"2ª Vara Mista da Comarca de Ingá, encontra-se nesta Diretoria Especial (diesp@tjpb.jus.br), com a nota de empenho por estimativa, emitida para pagamento, aguardando que seja providenciada a nota fiscal do serviço realizado, com a indicação do","2ª Vara Mista da Comarca de Ingá, encontra-se nesta Diretoria Especial (diesp@tjpb.jus.br), com a nota de empenho por estimativa, emitida para pagamento, aguardando que seja providenciada a nota fiscal do serviço realizado, com a indicação do",TP
2094901533,0801418-16.2024.8.15.0321,Juízo da Vara Única da Comarca de Santa Luzia,Juízo da Vara Única da Comarca de Santa Luzia,TP
2028485270,0802956-63.2024.8.15.0731,2ª Vara Mista da Comarca de Cabedelo,2ª Vara Mista da Comarca de Cabedelo,TP
2013.950,0000185-04.2015.8.15.1171,VaraÚnicadeSãoBento,VaraÚnicadeSãoBento,TP
2000000999,0802246-46.2024.8.15.0051,2ª Vara Mista da Comarca de São João do Rio do Peixe,2ª Vara Mista da Comarca de São João do Rio do Peixe,TP
019677-82.2025.8.15,0804801-12.2025.8.15.0371,,,TN
019678-48.2025.8.15,0805172-73.2025.8.15.0371,,,TN
2029.618,0803293-97.2016.8.15.2003,2ª Vara Regional Cível de Mangabeira,2ª Vara Regional Cível de Mangabeira,TP
2005042413,0802388-85.2024.8.15.0201,2ª Vara Mista da Comarca de Ingá,2ª Vara Mista da Comarca de Ingá,TP
2005042413,0802446-54.2025.8.15.0201,1ª Vara Mista da Comarca de Ingá,1ª Vara Mista da Comarca de Ingá,TP
2005042413,0802287-14.2025.8.15.0201,1ª Vara da Comarca de Ingá,1ª Vara da Comarca de Ingá,TP
2025.815,0801360-17.2024.8.15.0061,2ª Vara Mista da Comarca de Araruna,2ª Vara Mista da Comarca de Araruna,TP
2005042413,0802410-12.2025.8.15.0201,1ª Vara da Comarca de Ingá.,1ª Vara da Comarca de Ingá.,TP
2005042413,0802409-27.2025.8.15.0201,1ª Vara da Comarca de Ingá,1ª Vara da Comarca de Ingá,TP
2000001174,0804912-36.2023.8.15.0251,5ª Vara Mista da Comarca de Patos,5ª Vara Mista da Comarca de Patos,TP
2005042413,0000421-41.2018.8.15.0171,2ª Vara Mista da Comarca de Esperança,2ª Vara Mista da Comarca de Esperança,TP
2025815038,0800190-70.2025.8.15.2002,2ª Vara Mista da Comarca de Itabaiana,2ª Vara Mista da Comarca de Itabaiana,TP
019842-98.2025.8.15,0803178-48.2023.8.15.0381,2ª Vara Mista da Comarca de Itabaiana,2ª Vara Mista da Comarca de Itabaiana,TP
019882-96.2025.8.15,0805282-72.2025.8.15.0371,,,TN
019888-86.2025.8.15,0804342-10.2025.8.15.0371,,,TN
2035800265,0801427-31.2023.8.15.0541,Juízo da Vara Única da Comarca de Pocinhos,Juízo da Vara Única da Comarca de Pocinhos,TP
2025815054,0800443-76.2025.8.15.0541,Juízo da Vara Única da Comarca de Pocinhos,Juízo da Vara Única da Comarca de Pocinhos,TP
019948-83.2025.8.15,,1ª Vara Mista da Comarca de Queimadas,1ª Vara Mista da Comarca de Queimadas,TP
2025.815,0800533-41.2025.8.15.0911,Juízo da Vara Única da Comarca de Serra Branca,Juízo da Vara Única da Comarca de Serra Branca,TP
2025.815,0801435-28.2024.8.15.0911,Juízo da Vara Única da Comarca de Serra Branca,Juízo da Vara Única da Comarca de Serra Branca,TP
2035800265,0800813-55.2025.8.15.0541,Juízo da Vara Única da Comarca de Pocinhos,Juízo da Vara Única da Comarca de Pocinhos,TP
2025.815,0801009-25.2025.8.15.0541,"2ª Vara Mista da Comarca de Ingá, encontra-se nesta Diretoria Especial (diesp@tjpb.jus.br), com a nota de empenho por estimativa, emitida para pagamento, aguardando que seja providenciada a nota fiscal do serviço realizado, com a indicação do","2ª Vara Mista da Comarca de Ingá, encontra-se nesta Diretoria Especial (diesp@tjpb.jus.br), com a nota de empenho por estimativa, emitida para pagamento, aguardando que seja providenciada a nota fiscal do serviço realizado, com a indicação do",TP
2005042413,0804093-31.2024.8.15.0521,Juízo da Vara Única da Comarca de Alagoinha,Juízo da Vara Única da Comarca de Alagoinha,TP
2025605341,0800397-06.2023.8.15.0041,Vara única da Comarca de Alagoa Nova,Vara única da Comarca de Alagoa Nova,TP
2042522400,0801708-71.2022.8.20.5103,"“A audiência será integralmente realizada de forma virtual, com uso do","“A audiência será integralmente realizada de forma virtual, com uso do",TP
2071857622,0800148-26.2021.8.15.0041,Vara única da Comarca de Alagoa Nova,Vara única da Comarca de Alagoa Nova,TP
2013378261,0800529-34.2021.8.15.0041,Vara única da Comarca de Alagoa Nova,Vara única da Comarca de Alagoa Nova,TP
2000000968,0801039-47.2021.8.15.0041,Vara única da Comarca de Alagoa Nova,Vara única da Comarca de Alagoa Nova,TP
2064.2025,0801832-91.2025.8.15.0381,2ª Vara Mista da Comarca de Itabaiana,2ª Vara Mista da Comarca de Itabaiana,TP
2091157496,0801594-25.2021.8.15.0151,1ª Vara Mista da Comarca de Pombal-PB,1ª Vara Mista da Comarca de Pombal-PB,TP
2018000001,0801648-92.2024.8.15.0051,1ª Vara Mista de São João do Rio do Peixe,1ª Vara Mista de São João do Rio do Peixe,TP
2050530850,0800916-47.2025.8.15.0061,2ª Vara Mista da Comarca de Araruna,2ª Vara Mista da Comarca de Araruna,TP
2025.815,0801030-80.2025.8.15.2002,Juízo da Vara Única da Comarca de Pedras de Fogo,Juízo da Vara Única da Comarca de Pedras de Fogo,TP
2063.6187,0800020-53.2021.8.15.0381,1ª Vara Mista da Comarca de Itabaiana,1ª Vara Mista da Comarca de Itabaiana,TP
2025.2025,0804115-43.2025.8.15.0331,5ª Vara Mista da Comarca de Santa Rita,5ª Vara Mista da Comarca de Santa Rita,TP
2025.2025,0800917-95.2025.8.15.0331,5ª Vara Mista da Comarca de Santa Rita,5ª Vara Mista da Comarca de Santa Rita,TP
2060230000,0843813-32.2021.8.15.2001,6ª Vara Cível da Capital,6ª Vara Cível da Capital,TP
2082900000,0801020-63.2025.8.15.0441,Juízo da Vara Única da Comarca do Conde,Juízo da Vara Única da Comarca do Conde,TP
2014464000,0800247-91.2021.8.15.0171,2ª Vara Mista da Comarca de Esperança,2ª Vara Mista da Comarca de Esperança,TP
2042000001,0800805-87.2025.8.15.0441,Juízo da Vara Única da Comarca do Conde,Juízo da Vara Única da Comarca do Conde,TP
2070000011,0801993-52.2024.8.15.0441,Juízo da Vara Única da Comarca do Conde,Juízo da Vara Única da Comarca do Conde,TP
2025.815,0805007-48.2023.8.15.2003,2ª Vara Regional Cível de Mangabeira.,2ª Vara Regional Cível de Mangabeira.,TP
2021718063,0800893-28.2025.8.15.0441,Juízo da Vara Única da Comarca do Conde,Juízo da Vara Única da Comarca do Conde,TP
2020.04453,0800781-59.2025.8.15.0441,Juízo da Vara Única da Comarca do Conde,Juízo da Vara Única da Comarca do Conde,TP
2086894713,0006625-63.2012.8.15.0381,1ª Vara Mista da Comarca de Itabaiana,1ª Vara Mista da Comarca de Itabaiana,TP
2010011233,0801255-46.2025.8.15.0371,1º,1º,TP
2063.8413,0804389-56.2022.8.15.0381,1ª Vara Mista da Comarca de Itabaiana,1ª Vara Mista da Comarca de Itabaiana,TP
2000001017,0800305-37.2025.8.15.0371,1º,1º,TP
020858-86.2025.8.15,0801067-10.2025.8.15.0741,3ª Vara Regional do Juízo das Garantias da Comarca de Campina Grande,3ª Vara Regional do Juízo das Garantias da Comarca de Campina Grande,TP
020859-52.2025.8.15,0801753-38.2022.8.15.0181,3ª Vara Regional do Juízo das Garantias da Comarca de Campina Grande,3ª Vara Regional do Juízo das Garantias da Comarca de Campina Grande,TP
2037800000,0801410-73.2024.8.15.0051,2ª Vara Mista da Comarca de São João do Rio do Peixe,2ª Vara Mista da Comarca de São João do Rio do Peixe,TP
2023.815,,Juízo da Vara Única da Comarca de Boqueirão,Juízo da Vara Única da Comarca de Boqueirão,TP
2022.815,0801157-23.2022.8.15.0741,Juízo da Vara Única da Comarca de Boqueirão,Juízo da Vara Única da Comarca de Boqueirão,TP
2000000990,0800780-74.2018.8.15.0391,Vara Única da Comarca de Teixeira,Vara Única da Comarca de Teixeira,TP
2012031130,0802311-30.2020.8.15.0391,Juízo da Vara Única da Comarca de Teixeira,Juízo da Vara Única da Comarca de Teixeira,TP
021224-58.2025.8.15,0801253-63.2025.8.15.0731,1ª Vara Mista da Comarca de Cabedelo,1ª Vara Mista da Comarca de Cabedelo,TP
2000001166,0800375-81.2025.8.15.0071,Juízo da Vara Única da Comarca de Areia,Juízo da Vara Única da Comarca de Areia,TP
2025.815,0800140-74.2025.8.15.0731,1ª Vara Mista da Comarca de Cabedelo,1ª Vara Mista da Comarca de Cabedelo,TP
2024815073,0800317-38.2025.8.15.0731,1ª Vara Mista da Comarca de Cabedelo,1ª Vara Mista da Comarca de Cabedelo,TP
2078.064,0800945-31.2023.8.15.0041,Juízo da Vara única da Comarca de Alagoa Nova,Juízo da Vara única da Comarca de Alagoa Nova,TP
021359-27.2025.8.15,0801590-97.2025.8.15.0231,2ª Vara Mista da Comarca de Mamanguape,2ª Vara Mista da Comarca de Mamanguape,TP
2005042413,0801030-05.2024.8.15.0551,Juízo da Vara Única da Comarca de Remígio,Juízo da Vara Única da Comarca de Remígio,TP
2005042413,0800124-78.2025.8.15.0551,Juízo da Vara Única da Comarca de Remígio,Juízo da Vara Única da Comarca de Remígio,TP
2005042413,0800833-16.2025.8.15.0551,Juízo da Vara Única da Comarca de Remígio,Juízo da Vara Única da Comarca de Remígio,TP
2023813000,0800483-29.2023.8.15.0541,Juízo da Vara Única da Comarca de Pocinhos,Juízo da Vara Única da Comarca de Pocinhos,TP
2096.296,0866055-87.2018.8.15.2001,4ª Vara Cível da Comarca da Capital,4ª Vara Cível da Comarca da Capital,TP
2044.2025,0805172-81.2020.8.15.0231,3ª Vara Mista da Comarca de Mamanguape,3ª Vara Mista da Comarca de Mamanguape,TP
2013826054,0801803-65.2024.8.15.0061,2ª Vara Mista de Araruna,2ª Vara Mista de Araruna,TP
