PROCESSO ADMIN. Nº,PROCESSO Nº,OBSERVACOES__gt,OBSERVACOES__pred,status
2020229480,0808671-02.2024.8.15.0371,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Documentos ignorados por divergência: [12]-0310217_Anexo.pdf; Processo adm. citado nos documentos: 2020229480; Processo divergente do ZIP: 0808671-02.2024.8.15.0371,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Documentos ignorados por divergência: [12]-0310217_Anexo.pdf; Processo adm. citado nos documentos: 2020229480; Processo divergente do ZIP: 0808671-02.2024.8.15.0371,TP
010707-94.2025.8.15,0807162-70.2023.8.15.0371,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Documentos ignorados por divergência: [13]-0310134_Anexo.pdf; Processo divergente do ZIP: 0807162-70.2023.8.15.0371,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Documentos ignorados por divergência: [13]-0310134_Anexo.pdf; Processo divergente do ZIP: 0807162-70.2023.8.15.0371,TP
2025.815,0807980-85.2024.8.15.0371,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Processo adm. citado nos documentos: 2025.815; Processo divergente do ZIP: 0807980-85.2024.8.15.0371; Data suspeita em Data da Autorização da Despesa: Comunicações,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Processo adm. citado nos documentos: 2025.815; Processo divergente do ZIP: 0807980-85.2024.8.15.0371; Data suspeita em Data da Autorização da Despesa: Comunicações,TP
2049.103,0802983-69.2022.8.15.0261,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Processo adm. citado nos documentos: 2049.103; Processo divergente do ZIP: 0802983-69.2022.8.15.0261,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Processo adm. citado nos documentos: 2049.103; Processo divergente do ZIP: 0802983-69.2022.8.15.0261,TP
2025.815,0801068-28.2024.8.15.0321,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; CNJs adicionais mencionados: 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2025.815; Processo divergente do ZIP: 0801068-28.2024.8.15.0321; Fator inválido (não numérico),PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; CNJs adicionais mencionados: 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2025.815; Processo divergente do ZIP: 0801068-28.2024.8.15.0321; Fator inválido (não numérico),TP
2019585346,0042386-19.2010.8.15.2001,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Processo adm. citado nos documentos: 2019585346; Processo divergente do ZIP: 0042386-19.2010.8.15.2001; Data suspeita em Data da Autorização da Despesa: Comunicações; Valor suspeito em VALOR ARBITRADO: ( ) adiantamento; VALOR ARBITRADO - CM inválido (não monetário),PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Processo adm. citado nos documentos: 2019585346; Processo divergente do ZIP: 0042386-19.2010.8.15.2001; Data suspeita em Data da Autorização da Despesa: Comunicações; Valor suspeito em VALOR ARBITRADO: ( ) adiantamento; VALOR ARBITRADO - CM inválido (não monetário),TP
2008500000,0043170-93.2010.8.15.2001,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Processo adm. citado nos documentos: 2008500000; Processo divergente do ZIP: 0043170-93.2010.8.15.2001; Data suspeita em Data da Autorização da Despesa: Comunicações; Fator inválido (não numérico),PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Processo adm. citado nos documentos: 2008500000; Processo divergente do ZIP: 0043170-93.2010.8.15.2001; Data suspeita em Data da Autorização da Despesa: Comunicações; Fator inválido (não numérico),TP
2025.2025,0059558-32.2014.8.15.2001,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; CNJs adicionais mencionados: 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2025.2025; Processo divergente do ZIP: 0059558-32.2014.8.15.2001; Valor suspeito em VALOR ARBITRADO: (cid:9) ((cid:9) ) Adiantamento(cid:9) ( X ) Finais; VALOR ARBITRADO - DE inválido (não monetário); VALOR ARBITRADO - CM inválido (não monetário),PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; CNJs adicionais mencionados: 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2025.2025; Processo divergente do ZIP: 0059558-32.2014.8.15.2001; Valor suspeito em VALOR ARBITRADO: (cid:9) ((cid:9) ) Adiantamento(cid:9) ( X ) Finais; VALOR ARBITRADO - DE inválido (não monetário); VALOR ARBITRADO - CM inválido (não monetário),TP
015004-78.2025.8.15,0823984-70.2018.8.15.2001,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Processo divergente do ZIP: 0823984-70.2018.8.15.2001; CPF do perito ajustado pelo catálogo externo; VALOR ARBITRADO - CM inválido (não monetário),PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Processo divergente do ZIP: 0823984-70.2018.8.15.2001; CPF do perito ajustado pelo catálogo externo; VALOR ARBITRADO - CM inválido (não monetário),TP
2020.236,0830572-20.2023.8.15.2001,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Processo adm. citado nos documentos: 2020.236; Processo divergente do ZIP: 0830572-20.2023.8.15.2001; Valor suspeito em VALOR ARBITRADO: ( ) adiantamento; Valor suspeito em R$: ( ) adiantamento; VALOR ARBITRADO - CM inválido (não monetário),PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Processo adm. citado nos documentos: 2020.236; Processo divergente do ZIP: 0830572-20.2023.8.15.2001; Valor suspeito em VALOR ARBITRADO: ( ) adiantamento; Valor suspeito em R$: ( ) adiantamento; VALOR ARBITRADO - CM inválido (não monetário),TP
2000001128,0800696-73.2025.8.15.0441,"PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Documentos ignorados por divergência: [04]-0248669_Anexo.pdf, [17]-0311009_Anexo.pdf; Processo adm. citado nos documentos: 2000001128; Processo divergente do ZIP: 0800696-73.2025.8.15.0441; Data suspeita em Data da Autorização da Despesa: pelas Comunicações","PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Documentos ignorados por divergência: [04]-0248669_Anexo.pdf, [17]-0311009_Anexo.pdf; Processo adm. citado nos documentos: 2000001128; Processo divergente do ZIP: 0800696-73.2025.8.15.0441; Data suspeita em Data da Autorização da Despesa: pelas Comunicações",TP
2053427100,0801633-30.2023.8.15.0061,"PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Documentos ignorados por divergência: [15]-0311515_Anexo.pdf; Processo adm. citado nos documentos: 2053427100; Processo divergente do ZIP: 0801633-30.2023.8.15.0061; Data suspeita em Data da Autorização da Despesa: Comunicações; Valor suspeito em VALOR ARBITRADO: RS 540,56 (quinhentos e quarenta reais e; VALOR ARBITRADO - CM inválido (não monetário)","PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Documentos ignorados por divergência: [15]-0311515_Anexo.pdf; Processo adm. citado nos documentos: 2053427100; Processo divergente do ZIP: 0801633-30.2023.8.15.0061; Data suspeita em Data da Autorização da Despesa: Comunicações; Valor suspeito em VALOR ARBITRADO: RS 540,56 (quinhentos e quarenta reais e; VALOR ARBITRADO - CM inválido (não monetário)",TP
2025.815,0801525-69.2021.8.15.0061,"PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Documentos ignorados por divergência: [05]-0248891_Anexo.pdf, [02]-0248883_Anexo.pdf, [14]-0311499_Anexo.pdf; Processo adm. citado nos documentos: 2025.815; Processo divergente do ZIP: 0801525-69.2021.8.15.0061; Data suspeita em Data da Autorização da Despesa: Comunicações; Valor suspeito em VALOR ARBITRADO: RS 540,56 (quinhentos e quarenta reais e; VALOR ARBITRADO - CM inválido (não monetário)","PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Documentos ignorados por divergência: [05]-0248891_Anexo.pdf, [02]-0248883_Anexo.pdf, [14]-0311499_Anexo.pdf; Processo adm. citado nos documentos: 2025.815; Processo divergente do ZIP: 0801525-69.2021.8.15.0061; Data suspeita em Data da Autorização da Despesa: Comunicações; Valor suspeito em VALOR ARBITRADO: RS 540,56 (quinhentos e quarenta reais e; VALOR ARBITRADO - CM inválido (não monetário)",TP
2025.815,0801447-09.2022.8.15.0201,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; CNJs adicionais mencionados: 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2025.815; Processo divergente do ZIP: 0801447-09.2022.8.15.0201,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; CNJs adicionais mencionados: 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2025.815; Processo divergente do ZIP: 0801447-09.2022.8.15.0201,TP
2025.815,0802926-98.2024.8.15.0061,Sem VALOR ARBITRADO; Sem PERITO; Sem PROCESSO Nº; Processo adm. citado nos documentos: 2025.815; Processo divergente do ZIP: 0802926-98.2024.8.15.0061,Sem VALOR ARBITRADO; Sem PERITO; Sem PROCESSO Nº; Processo adm. citado nos documentos: 2025.815; Processo divergente do ZIP: 0802926-98.2024.8.15.0061,TP
2000000107,0804872-89.2024.8.15.0131,"PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Documentos ignorados por divergência: [06]-0255865_Anexo.pdf, [12]-0321332_Anexo.pdf; Processo adm. citado nos documentos: 2000000107; Processo divergente do ZIP: 0804872-89.2024.8.15.0131; Data suspeita em Data da Autorização da Despesa: Comunicações","PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Documentos ignorados por divergência: [06]-0255865_Anexo.pdf, [12]-0321332_Anexo.pdf; Processo adm. citado nos documentos: 2000000107; Processo divergente do ZIP: 0804872-89.2024.8.15.0131; Data suspeita em Data da Autorização da Despesa: Comunicações",TP
2025.2025,0804821-78.2024.8.15.0131,"PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Documentos ignorados por divergência: [06]-0255772_Anexo.pdf, [12]-0321353_Anexo.pdf; Processo adm. citado nos documentos: 2025.2025; Processo divergente do ZIP: 0804821-78.2024.8.15.0131; Data suspeita em Data da Autorização da Despesa: Comunicações","PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Documentos ignorados por divergência: [06]-0255772_Anexo.pdf, [12]-0321353_Anexo.pdf; Processo adm. citado nos documentos: 2025.2025; Processo divergente do ZIP: 0804821-78.2024.8.15.0131; Data suspeita em Data da Autorização da Despesa: Comunicações",TP
2025.2025,0805061-67.2024.8.15.0131,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Documentos ignorados por divergência: [11]-0321444_Anexo.pdf; Processo adm. citado nos documentos: 2025.2025; Processo divergente do ZIP: 0805061-67.2024.8.15.0131; Data suspeita em Data da Autorização da Despesa: Comunicações,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Documentos ignorados por divergência: [11]-0321444_Anexo.pdf; Processo adm. citado nos documentos: 2025.2025; Processo divergente do ZIP: 0805061-67.2024.8.15.0131; Data suspeita em Data da Autorização da Despesa: Comunicações,TP
2025.2025,0806282-85.2024.8.15.0131,"PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Documentos ignorados por divergência: [06]-0256054_Anexo.pdf, [12]-0321386_Anexo.pdf; Processo adm. citado nos documentos: 2025.2025; Processo divergente do ZIP: 0806282-85.2024.8.15.0131; Data suspeita em Data da Autorização da Despesa: Comunicações","PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Documentos ignorados por divergência: [06]-0256054_Anexo.pdf, [12]-0321386_Anexo.pdf; Processo adm. citado nos documentos: 2025.2025; Processo divergente do ZIP: 0806282-85.2024.8.15.0131; Data suspeita em Data da Autorização da Despesa: Comunicações",TP
2025.2025,0803860-40.2024.8.15.0131,"PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Documentos ignorados por divergência: [06]-0255870_Anexo.pdf, [12]-0321467_Anexo.pdf; Processo adm. citado nos documentos: 2025.2025; Processo divergente do ZIP: 0803860-40.2024.8.15.0131; Data suspeita em Data da Autorização da Despesa: Comunicações","PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Documentos ignorados por divergência: [06]-0255870_Anexo.pdf, [12]-0321467_Anexo.pdf; Processo adm. citado nos documentos: 2025.2025; Processo divergente do ZIP: 0803860-40.2024.8.15.0131; Data suspeita em Data da Autorização da Despesa: Comunicações",TP
2080.837,0800784-88.2024.8.15.0751,"PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; CNJs adicionais mencionados: 0802292-40.2022.8.15.0751, 0805700-03.2021.8.15.2003, 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2080.837; Processo divergente do ZIP: 0800784-88.2024.8.15.0751; Fator inválido (não numérico)","PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; CNJs adicionais mencionados: 0802292-40.2022.8.15.0751, 0805700-03.2021.8.15.2003, 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2080.837; Processo divergente do ZIP: 0800784-88.2024.8.15.0751; Fator inválido (não numérico)",TP
2046297374,0840653-62.2022.8.15.2001,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; CNJs adicionais mencionados: 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2046297374; Processo divergente do ZIP: 0840653-62.2022.8.15.2001,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; CNJs adicionais mencionados: 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2046297374; Processo divergente do ZIP: 0840653-62.2022.8.15.2001,TP
2025.815,0802828-51.2024.8.15.0211,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Processo adm. citado nos documentos: 2025.815; Processo divergente do ZIP: 0802828-51.2024.8.15.0211; Data suspeita em Data da Autorização da Despesa: Comunicações; Valor suspeito em VALOR ARBITRADO: ( ) Adiantamento (X) Finais; VALOR ARBITRADO - CM inválido (não monetário),PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Processo adm. citado nos documentos: 2025.815; Processo divergente do ZIP: 0802828-51.2024.8.15.0211; Data suspeita em Data da Autorização da Despesa: Comunicações; Valor suspeito em VALOR ARBITRADO: ( ) Adiantamento (X) Finais; VALOR ARBITRADO - CM inválido (não monetário),TP
2024.815,0803087-46.2024.8.15.0211,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Processo adm. citado nos documentos: 2024.815; Processo divergente do ZIP: 0803087-46.2024.8.15.0211; Data suspeita em Data da Autorização da Despesa: Comunicações; Valor suspeito em VALOR ARBITRADO: ( ) Adiantamento (X) Finais; VALOR ARBITRADO - CM inválido (não monetário),PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Processo adm. citado nos documentos: 2024.815; Processo divergente do ZIP: 0803087-46.2024.8.15.0211; Data suspeita em Data da Autorização da Despesa: Comunicações; Valor suspeito em VALOR ARBITRADO: ( ) Adiantamento (X) Finais; VALOR ARBITRADO - CM inválido (não monetário),TP
